2024.03.22 17:38:46 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:38:46 | I | index.js | Toto je informační zpráva.
2024.03.22 17:38:46 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:39:17 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 17:39:17 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:39:17 | I | index.js | Toto je informační zpráva.
2024.03.22 17:39:17 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:39:17 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 17:41:44 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 17:41:44 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:41:44 | I | index.js | Toto je informační zpráva.
2024.03.22 17:41:44 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:41:44 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 17:44:11 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 17:44:11 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:44:11 | I | index.js | Toto je informační zpráva.
2024.03.22 17:44:11 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:44:11 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 17:44:31 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 17:44:31 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:44:31 | I | index.js | Toto je informační zpráva.
2024.03.22 17:44:31 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:44:31 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 17:47:39 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 17:47:39 | I | index.js | Toto je informační zpráva.
2024.03.22 17:47:39 | E | index.js | Toto je chybová zpráva.
2024.03.22 17:47:39 | W | index.js | Toto je varovná zpráva.
2024.03.22 17:47:39 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 18:49:13 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 18:49:13 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 18:52:24 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 18:52:24 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 19:24:59 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 19:24:59 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 19:26:28 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 19:26:28 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 19:28:09 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 19:28:09 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 19:31:29 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 19:31:29 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 19:32:01 | E | envConf.js | Chyba při načítání .env souboru 
2024.03.22 19:32:01 | I | index.js | ------------------- STARTUP -------------------
